question,label
"How many days a week should I work out?",general
"Is it bad to work out late at night?",general
"How long should a good workout be?",general
"Should I stretch before or after lifting?",general
"Do I need rest days if I'm not sore?",general
"How do I know if I'm overtraining?",general
"Is working out twice a day okay?",general
"How much water should I drink daily?",general
"Is it normal to feel tired after workouts?",general
"How do I stay consistent with fitness?",general
"What's better, morning or evening workouts?",general
"How do I improve my overall fitness?",general
"Is walking enough exercise on rest days?",general
"How many steps should I get in a day?",general
"How do I track my progress properly?",general
"Do warmups really matter?",general
"How long should rest days be?",general
"Is gym anxiety normal?",general
"How can I stop feeling intimidated at the gym?",general
"Do fitness watches improve workouts?",general
"How important is sleep for fitness?",general
"Should I train when I feel sick?",general
"What's a good warmup routine?",general
"How do I cool down effectively?",general
"Is it okay to skip a workout?",general
"How do I build better discipline?",general
"How do I avoid burnout?",general
"How do I increase my energy levels?",general
"Does fitness get easier with time?",general
"Can I mix different styles of training?",general
"Can you make me a 3 day workout split?",workout
"How many sets should I do per exercise?",workout
"Is push pull legs good for beginners?",workout
"How do I build a balanced weekly plan?",workout
"How long should I rest between sets?",workout
"How often should I train each muscle group?",workout
"What's the best workout split for strength?",workout
"How do I design a full body routine?",workout
"How heavy should I lift?",workout
"Is training to failure necessary?",workout
"How do I progress overload properly?",workout
"What's a good leg day routine?",workout
"Can you design a back workout for me?",workout
"What's the best chest workout?",workout
"How many reps build strength?",workout
"How many reps build muscle?",workout
"Should I train abs daily?",workout
"How long should I rest between workouts?",workout
"What's better split training or full body?",workout
"How do I fix weak points in my lifts?",workout
"Is HIIT good with strength training?",workout
"What's a good beginner routine?",workout
"How do I get better at squats?",workout
"How can I improve my bench press?",workout
"Do I need to track workouts?",workout
"How do I know when to increase weight?",workout
"Is it bad to train the same muscle two days in a row?",workout
"Can you make me a beginner-friendly gym plan?",workout
"Should I do cardio before or after weights?",workout
"How do I make a routine with only dumbbells?",workout
"How much protein should I eat daily?",nutrition
"Are carbs bad for fitness?",nutrition
"How many calories should I eat?",nutrition
"Is intermittent fasting good?",nutrition
"What should I eat before a workout?",nutrition
"What should I eat after a workout?",nutrition
"How do I track my macros?",nutrition
"What are healthy snacks?",nutrition
"Do I need protein powder?",nutrition
"Are cheat meals okay?",nutrition
"Is sugar bad if I'm working out?",nutrition
"How do I stay full longer?",nutrition
"What is a balanced diet?",nutrition
"How much fiber do I need?",nutrition
"How much water should I drink with a high protein diet?",nutrition
"Are meal-prep meals healthy?",nutrition
"How do I stop overeating at night?",nutrition
"What is a good macro split?",nutrition
"Should I avoid eating after 8 pm?",nutrition
"Is milk good for muscle growth?",nutrition
"How important are vitamins?",nutrition
"What's a healthy breakfast for fitness?",nutrition
"Do smoothies count as meals?",nutrition
"Is keto good for working out?",nutrition
"How many meals a day should I eat?",nutrition
"Are energy drinks bad for workouts?",nutrition
"Is low carb good for fat loss?",nutrition
"Is olive oil healthy?",nutrition
"What are good high-protein foods?",nutrition
"How do I build healthy eating habits?",nutrition
"How do I lose belly fat?",weight_loss
"What’s a healthy calorie deficit?",weight_loss
"How fast can I lose weight safely?",weight_loss
"Do I need cardio to lose weight?",weight_loss
"Is walking enough for fat loss?",weight_loss
"How do I stop binge eating?",weight_loss
"What foods help with fat loss?",weight_loss
"Does lifting help with fat loss?",weight_loss
"How do I stay full in a deficit?",weight_loss
"Is fasting good for fat loss?",weight_loss
"Should I cut carbs to lose weight?",weight_loss
"How do I track calories easily?",weight_loss
"How long does fat loss take?",weight_loss
"Why did my weight loss stall?",weight_loss
"Is 1200 calories too low?",weight_loss
"Why do I feel tired in a deficit?",weight_loss
"Do I need to count macros for fat loss?",weight_loss
"How do I lose fat without losing muscle?",weight_loss
"Is HIIT good for fat loss?",weight_loss
"Are fat burner supplements worth it?",weight_loss
"What’s a realistic weekly weight loss goal?",weight_loss
"How do I prevent cravings?",weight_loss
"Can I lose weight without dieting?",weight_loss
"Is fruit bad for fat loss?",weight_loss
"Why do I regain weight easily?",weight_loss
"Is it okay to have cheat meals during weight loss?",weight_loss
"Does stress affect fat loss?",weight_loss
"How much water helps with fat loss?",weight_loss
"How do I maintain weight after losing it?",weight_loss
"Does eating at night cause fat gain?",weight_loss
